Date;GID;Pos;Name;Starter;FD Pts;FD Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160309;4079;PG;Westbrook, Russell;1;67.2;$10,600;okc;H;lac;120;108;37.03;25pt 11rb 20as 2st 1bl 7to 9-15fg 7-7ft
20160309;4440;PG;Walker, Kemba;1;57.9;$8,800;cha;H;nor;122;113;35.93;35pt 7rb 7as 2st 5trey 9-18fg 12-16ft
20160309;4224;SG;Harden, James;1;51.8;$11,000;hou;A;phi;118;104;41.25;29pt 9rb 8as 1st 1bl 4to 8-26fg 13-13ft
20160309;3786;PG;Paul, Chris;1;48.6;$10,000;lac;A;okc;108;120;37.43;12pt 3rb 16as 5st 1bl 3to 1trey 5-15fg 1-1ft
20160309;4212;PG;Holiday, Jrue;1;47.8;$8,000;nor;A;cha;113;122;37.97;38pt 4rb 6as 4to 5trey 13-23fg 7-7ft
20160309;4490;SG;Middleton, Khris;1;40.4;$7,800;mil;H;mia;114;108;39.82;22pt 7rb 8as 1st 4to 1trey 8-15fg 5-5ft
20160309;4228;PG;Collison, Darren;1;38;$5,000;sac;H;cle;111;120;39.03;15pt 5rb 8as 2st 1bl 1to 2trey 5-12fg 3-3ft
20160309;4379;PG;Irving, Kyrie;1;37.2;$7,200;cle;A;sac;120;111;38.75;30pt 1rb 4as 1st 2to 3trey 11-22fg 5-6ft
20160309;4885;SG;Booker, Devin;1;34.1;$5,700;pho;H;nyk;97;128;38.93;32pt 3rb 1as 3to 3trey 14-28fg 1-2ft
20160309;4420;PG;Thomas, Isaiah;1;34.1;$8,100;bos;H;mem;116;96;28.52;22pt 3rb 5as 1st 1to 2trey 7-18fg 6-8ft
20160309;4173;PG;Curry, Stephen;1;33.6;$10,900;gsw;H;uta;115;94;31.52;12pt 3rb 10as 3st 3to 3trey 4-12fg 1-2ft
20160309;3740;PG;Calderon, Jose;1;33.4;$3,900;nyk;A;pho;128;97;34.42;10pt 2rb 12as 2st 1to 2trey 4-6fg
20160309;4234;PG;Beverley, Patrick;1;32.3;$5,000;hou;A;phi;118;104;31.82;16pt 4rb 5as 3st 2to 4trey 6-14fg
20160309;3681;SG;Vujacic, Sasha;1;30.5;$3,500;nyk;A;pho;128;97;32.90;23pt 5rb 1as 1st 2to 6trey 7-8fg 3-4ft
20160309;3861;SG;Redick, J.J.;1;29.7;$4,700;lac;A;okc;108;120;29.13;22pt 1rb 3as 2st 2to 5trey 6-13fg 5-6ft
20160309;4616;SG;Caldwell-Pope, Kentavious;1;29.5;$5,000;det;A;dal;102;96;40.08;14pt 5rb 3as 3st 1to 1trey 5-16fg 3-3ft
